아차, 92, 152
마가, 50, 157
파타, 99, 160
아다, 44, 174
사카, 97, 155
사사, 47, 168
하가, 44, 182
나마, 62, 189
바차, 95, 164
사바, 93, 165
자하, 61, 186
카파, 99, 165
마카, 57, 185
파라, 48, 187
라다, 52, 168
마아, 73, 177
카하, 94, 179
라사, 88, 173
마라, 64, 140
파카, 50, 172
카다, 90, 171
라바, 53, 143
카파, 73, 172
자파, 96, 165
하차, 75, 193
하파, 43, 179
파차, 63, 146
사하, 69, 182
마파, 98, 166
가타, 63, 193
나아, 70, 142
차카, 76, 185
하바, 48, 178
나파, 60, 172
마하, 56, 142
아나, 49, 167
카하, 81, 181
가자, 77, 183
마다, 80, 166
차나, 98, 174
카아, 74, 143
차파, 68, 174
아파, 84, 167
라파, 76, 151
라하, 75, 179
아하, 41, 168
다자, 76, 148
하마, 70, 142
파파, 76, 181
아라, 71, 167
라라, 57, 196
파바, 68, 161
차가, 43, 173
하아, 64, 181
바나, 96, 198
하자, 51, 155
사마, 93, 182
카가, 94, 153
마라, 64, 185
바아, 82, 167
타라, 91, 160
라바, 47, 142
파하, 74, 153
파아, 82, 179
타하, 41, 173
라나, 66, 184
다자, 79, 160
라마, 40, 145
아자, 97, 158
사바, 57, 151
하자, 58, 175
카가, 95, 149
자다, 91, 156
파가, 57, 186
타카, 83, 143
파아, 58, 193
자자, 88, 142
바하, 62, 188
바파, 53, 193
바타, 47, 192
하나, 59, 176
가타, 62, 178
가하, 84, 180
하사, 83, 169
자마, 99, 157
파라, 77, 191
파다, 54, 140
마라, 71, 188
가바, 98, 141
라가, 79, 198
차나, 86, 148
카타, 50, 144
하카, 44, 168
하라, 94, 199
카아, 76, 191
차마, 42, 151
자타, 96, 176
사카, 61, 162
카바, 96, 197
타카, 65, 148
자타, 52, 190
가자, 99, 187
다마, 45, 182
마카, 52, 195
라차, 92, 199
라라, 69, 146
마아, 54, 194
하타, 51, 196
차자, 95, 175
사아, 92, 169
파자, 71, 188
하다, 73, 168
아차, 99, 162
타마, 72, 151
자차, 69, 159
파하, 93, 163
바하, 49, 187
라하, 50, 162
마다, 47, 155
다아, 74, 187
마마, 72, 160
라차, 70, 179
차자, 56, 163
가다, 54, 183
나차, 69, 170
가하, 72, 153
바나, 87, 186
다아, 80, 176
파사, 91, 197
마나, 87, 164
카타, 97, 178
아마, 85, 180
자사, 45, 157
가자, 72, 149
다라, 41, 146
카아, 81, 170
카자, 49, 175
타타, 63, 140
타마, 56, 167
차라, 78, 144
차나, 71, 190
라자, 98, 192
파파, 55, 183
카아, 96, 161
아다, 99, 172
라라, 66, 156
나타, 85, 199
카라, 79, 197
카하, 48, 142
차하, 98, 170
바카, 51, 163
자파, 65, 155
나마, 61, 179
자차, 66, 178
가카, 78, 181
하하, 51, 198
카다, 67, 157
나라, 58, 184
자카, 68, 180
파타, 94, 147
다라, 69, 153
다가, 59, 150
카차, 53, 183
자마, 82, 166
카파, 91, 183
다타, 72, 176
타카, 44, 150
카마, 91, 183
바바, 56, 156
